match_id,start_x,start_y,end_x,end_y,angle,route_group,confidence
d375d036-9a95-4db3-b9fd-4822ecad6a14,-152789.53267045456,454582.4090909091,306828.91826923075,397908.10576923075,-7.029503196805843,west_to_east_georgopol,1.0
811d4d37-55bb-45c2-9c56-3bacf0eeeb6a,-97585.68678977272,637045.8522727273,312799.371875,457823.8125,-23.59170096949841,southwest_to_northeast_georgopol,1.0
d447befa-e229-49c4-8e15-890af6343a47,328986.0515625,379860.8640625,350255.00625,402413.065625,46.67735473948925,northwest_to_southeast_pochinki,0.15
c099b1d2-85e2-4e73-83dd-2f2e008c12ae,757511.5208333334,859756.1197916666,291198.3502604167,491554.1015625,-141.70529238639799,southeast_to_northwest_military,1.0
b6409212-b1b0-4b0b-b938-a7d2d15017d6,903364.45,278264.07083333336,514968.95192307694,352870.71875,169.12653607321954,east_to_west_yasnaya,1.0
0469f2b7-428e-4f41-819d-f859525bcbb0,-155239.14732142858,427551.09821428574,389542.9289772727,415935.2840909091,-1.2214724467618618,west_to_east_georgopol,1.0
f7697b9c-fc01-4daa-920d-153a65ab54fb,571672.0133928572,-134841.57198660713,583060.5859375,426797.6569010417,88.83835085284502,north_to_south_severny,1.0
52f296fd-888b-448f-a4d4-86ed4329251f,964242.1534090909,514986.2528409091,609846.65625,356771.2272727273,-155.94227982948274,southeast_to_northwest,1.0
155e6385-fe85-4e73-b0ab-eb9e19affeec,362513.415625,-153681.071875,512009.3039772727,337099.8821022727,73.05883586564708,north_to_south_severny,1.0
52178f47-5bba-4e74-b0bc-7aba1c9fae5a,748192.2239583334,861935.046875,366174.66466346156,350490.7632211539,-126.75747909628004,southeast_to_northwest_military,1.0
7ed39566-b4f6-408f-83a0-624798ae2b9d,-88774.02556818182,697704.5738636364,444065.68892045453,374823.0965909091,-31.214338089494525,southwest_to_northeast_georgopol,1.0
992fcabc-d81e-4859-bc55-37266e1df8ea,-130285.4015625,357553.45,264512.40989583335,361917.0729166667,0.6332532474316053,west_to_east_georgopol,1.0
636c58c8-e5a1-42fe-9b63-86c20684bae9,717985.1791666667,892677.7583333333,400716.0091145833,409621.8268229167,-123.29674614540346,southeast_to_northwest_military,1.0
813b9402-4625-4f5f-bdcf-1edb91a41368,898715.3166666667,242782.334375,565891.1833333333,372246.06875,158.74469053074742,east_to_west_yasnaya,1.0
a3e58978-4a24-4d7f-bbb7-fa1672a5d635,289463.09375,-149016.7684659091,429603.45,398203.85625,75.6355660249595,north_to_south_severny,1.0
df2f280f-f95a-42c3-a56f-4f3c93a1c259,878060.9558823529,700790.6397058824,505039.0875,455185.525,-146.63828749895413,southeast_to_northwest_military,1.0
0af8c81b-ea11-4729-a669-643b540ae36c,750174.6071428572,-52695.084263392855,484792.3973214286,405451.9285714286,120.0816195140137,northeast_to_southwest_yasnaya,1.0
83ebf888-d801-4f4d-9646-7608434bf523,35755.734765625,843334.9125,376623.165625,306197.94375,-57.60076461495232,southwest_to_northeast_military,1.0
d79366c7-e4da-4dbe-8fb6-8cedc2fee53a,634840.7395833334,-106013.076171875,425072.0875,531137.896875,108.22305002391907,north_to_south,1.0
